id,date,tests,confirmed,recovered,deaths,hosp,vent,icu,population,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,stringency_index,iso_alpha_3,iso_alpha_2,iso_numeric,currency,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,key,key_apple_mobility,key_google_mobility
USA,7/10/20,45378528,3177856,983185,134666,0,0,0,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,7/11/20,46208827,3237911,995576,135359,0,0,0,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,7/12/20,46899893,3297011,1006326,135820,0,0,0,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,7/13/20,47754089,3355793,1031939,136188,0,0,0,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,7/14/20,48732122,3423156,1049098,137108,0,0,0,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,7/15/20,49746936,3490765,1075882,138080,0,0,0,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,7/16/20,50758789,3567937,1090645,139030,0,0,0,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,7/17/20,51792462,3639586,1107204,139963,0,0,0,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,7/18/20,52686899,3702091,1122720,140825,0,0,0,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,7/19/20,53402891,3762878,1131121,141278,0,0,0,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,7/20/20,54290895,3824330,1160087,141802,0,0,0,326687501,3,2,2,4,1,1,2,3,2,3,1,67.13,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,7/21/20,55296560,3888437,1182018,142903,0,0,0,326687501,3,2,2,4,1,1,2,3,2,3,1,67.13,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,7/22/20,56386861,3960276,1210849,144123,0,0,0,326687501,3,2,2,4,1,1,2,3,2,3,1,67.13,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,7/23/20,57443279,4028867,1233269,145215,0,0,0,326687501,3,2,2,4,1,1,2,3,2,3,1,67.13,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,7/24/20,58493596,4102027,1261624,146345,0,0,0,326687501,3,2,2,4,1,1,2,3,2,3,1,67.13,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,7/25/20,59364681,4167452,1279414,147233,0,0,0,326687501,3,2,2,4,1,1,2,3,2,3,1,67.13,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,7/26/20,60034286,4222488,1297863,147716,0,0,0,326687501,3,2,2,4,1,1,2,3,2,3,1,67.13,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,7/27/20,60810542,4278460,1325804,148833,0,0,0,326687501,3,2,2,4,1,1,2,3,2,3,1,67.13,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,7/28/20,61741207,4344232,1355363,150204,0,0,0,326687501,3,2,2,4,1,1,2,3,2,3,1,67.13,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,7/29/20,62753001,4415991,1389425,151635,0,0,0,326687501,3,2,2,4,1,1,2,3,2,3,1,67.13,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,7/30/20,63778773,4483552,1414155,152851,0,0,0,326687501,3,2,2,4,1,1,2,3,2,3,1,67.13,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,7/31/20,64750970,4550214,1438160,154093,0,0,0,326687501,3,2,2,4,1,1,2,3,2,3,1,67.13,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,8/1/20,65532075,4607983,1461885,155202,0,0,0,326687501,3,2,2,4,1,1,2,3,2,3,1,67.13,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,8/2/20,66151464,4654133,1468689,155613,0,0,0,326687501,3,2,2,4,1,1,2,3,2,3,1,67.13,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,8/3/20,66903845,4698705,1513446,156152,0,0,0,326687501,3,2,2,4,1,1,2,3,2,3,1,67.13,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,8/4/20,67754574,4755862,1528979,157526,0,0,0,326687501,3,2,2,4,1,1,2,3,2,3,1,67.13,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,8/5/20,68685362,4810377,1577851,158902,0,0,0,326687501,3,2,2,4,1,1,2,3,2,3,1,67.13,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,8/6/20,69645366,4869668,1598624,160150,0,0,0,326687501,3,2,2,4,1,1,2,3,2,3,1,67.13,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,8/7/20,70630856,4927811,1623870,161387,0,0,0,326687501,3,2,2,4,1,1,2,3,2,3,1,67.13,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,8/8/20,71427501,4982203,1643118,162470,0,0,0,326687501,3,2,2,4,1,1,2,3,2,3,1,67.13,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,8/9/20,72052714,5028443,1656864,162986,0,0,0,326687501,3,2,2,4,1,1,2,3,2,3,1,67.13,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,8/10/20,72813278,5077133,1670755,163512,0,0,0,326687501,3,2,2,4,1,1,2,3,2,3,1,67.13,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,8/11/20,73684012,5124014,1714960,164581,0,0,0,326687501,3,2,2,4,1,1,2,3,2,3,1,67.13,USA,US,840,USN,1,United States,,,38,-97,,United States,US
